1,-1,1286,364,229,183,0.9787
1,-1,558,93,105,76,0.9667
1,-1,932,78,81,67,0.9621
1,-1,1175,82,77,92,0.9597
1,-1,573,73,88,71,0.9589
1,-1,913,94,58,50,0.9525
1,-1,894,95,50,48,0.9478
1,-1,879,107,48,37,0.9284
2,-1,1286,364,229,182,0.9788
2,-1,558,94,105,75,0.9670
2,-1,932,78,81,67,0.9614
2,-1,1175,82,77,92,0.9596
2,-1,573,73,88,71,0.9593
2,-1,913,94,58,50,0.9519
2,-1,894,95,50,48,0.9487
2,-1,879,107,48,37,0.9290
3,-1,1286,364,229,182,0.9787
3,-1,559,94,104,75,0.9670
3,-1,932,78,81,67,0.9615
3,-1,1175,82,77,92,0.9596
3,-1,572,73,89,71,0.9594
3,-1,913,94,58,50,0.9520
3,-1,894,95,50,48,0.9487
3,-1,879,107,48,37,0.9290
4,-1,1286,364,229,182,0.9786
4,-1,558,93,105,76,0.9645
4,-1,932,78,81,67,0.9624
4,-1,1175,82,77,92,0.9597
4,-1,573,73,88,72,0.9578
4,-1,913,94,58,50,0.9529
4,-1,894,95,50,48,0.9492
4,-1,879,107,48,37,0.9290
5,-1,1286,364,229,182,0.9784
5,-1,558,94,105,75,0.9648
5,-1,932,78,81,67,0.9624
5,-1,1175,82,77,92,0.9598
5,-1,573,73,88,72,0.9578
5,-1,913,94,58,50,0.9530
5,-1,894,95,50,48,0.9478
5,-1,878,107,49,38,0.9261
6,-1,1286,364,229,182,0.9784
6,-1,558,94,105,75,0.9648
6,-1,932,78,81,67,0.9625
6,-1,1175,82,77,92,0.9597
6,-1,573,73,88,72,0.9577
6,-1,913,94,58,50,0.9529
6,-1,894,95,50,48,0.9469
6,-1,878,107,49,38,0.9257
7,-1,1286,364,229,182,0.9784
7,-1,558,94,105,75,0.9650
7,-1,932,78,81,67,0.9628
7,-1,1175,82,77,92,0.9598
7,-1,573,73,88,72,0.9578
7,-1,913,94,58,50,0.9530
7,-1,894,95,50,48,0.9477
7,-1,878,107,49,37,0.9266
8,-1,1286,364,230,182,0.9784
8,-1,558,94,105,75,0.9650
8,-1,932,78,81,67,0.9629
8,-1,1175,82,77,92,0.9599
8,-1,573,73,88,72,0.9580
8,-1,913,94,58,50,0.9535
8,-1,894,95,50,48,0.9503
8,-1,878,107,49,37,0.9296
9,-1,1286,364,230,182,0.9784
9,-1,558,94,105,75,0.9648
9,-1,932,78,81,67,0.9628
9,-1,1175,82,77,92,0.9598
9,-1,573,73,88,72,0.9578
9,-1,913,94,58,50,0.9533
9,-1,894,95,50,48,0.9488
9,-1,878,107,49,37,0.9275
10,-1,1286,364,230,183,0.9781
10,-1,558,94,105,75,0.9647
10,-1,932,78,81,67,0.9633
10,-1,1175,82,77,91,0.9596
10,-1,573,73,88,72,0.9584
10,-1,913,94,58,50,0.9533
10,-1,894,96,50,47,0.9519
10,-1,878,107,49,37,0.9288
11,-1,1286,364,230,183,0.9782
11,-1,558,94,105,75,0.9645
11,-1,932,78,81,67,0.9632
11,-1,1175,82,78,91,0.9597
11,-1,573,73,88,72,0.9579
11,-1,913,94,58,50,0.9536
11,-1,894,95,50,48,0.9514
11,-1,878,107,49,37,0.9288
12,-1,1286,364,230,183,0.9781
12,-1,558,94,105,75,0.9644
12,-1,932,78,81,67,0.9631
12,-1,1175,82,78,91,0.9597
12,-1,573,73,88,72,0.9577
12,-1,913,94,58,50,0.9534
12,-1,894,95,50,48,0.9513
12,-1,878,107,49,37,0.9285
13,-1,1286,364,230,183,0.9781
13,-1,932,79,81,66,0.9632
13,-1,558,94,105,75,0.9632
13,-1,1175,82,78,91,0.9594
13,-1,573,73,88,72,0.9578
13,-1,913,94,58,50,0.9540
13,-1,894,96,50,47,0.9513
13,-1,878,107,49,37,0.9278
14,-1,1286,364,230,183,0.9782
14,-1,932,79,81,66,0.9632
14,-1,559,94,104,75,0.9621
14,-1,1175,83,78,90,0.9592
14,-1,573,73,88,72,0.9577
14,-1,913,94,58,50,0.9536
14,-1,894,96,50,47,0.9521
14,-1,878,107,49,38,0.9268
15,-1,1286,364,230,183,0.9781
15,-1,932,79,81,66,0.9633
15,-1,559,94,104,75,0.9621
15,-1,1175,83,78,90,0.9593
15,-1,573,73,88,72,0.9575
15,-1,913,94,58,50,0.9537
15,-1,894,96,50,47,0.9516
15,-1,878,107,49,38,0.9257
16,-1,1286,364,230,183,0.9781
16,-1,932,79,81,66,0.9633
16,-1,559,94,104,75,0.9621
16,-1,1175,83,78,90,0.9591
16,-1,573,73,88,72,0.9575
16,-1,913,94,58,50,0.9537
16,-1,894,96,50,47,0.9520
16,-1,878,107,49,38,0.9263
17,-1,1286,364,230,183,0.9782
17,-1,558,94,105,75,0.9638
17,-1,932,79,81,66,0.9634
17,-1,1175,82,78,91,0.9592
17,-1,573,73,88,72,0.9583
17,-1,913,94,58,50,0.9538
17,-1,894,96,50,47,0.9517
17,-1,878,107,49,37,0.9278
18,-1,1286,364,230,183,0.9784
18,-1,558,94,105,75,0.9643
18,-1,932,79,81,66,0.9635
18,-1,1175,82,78,92,0.9596
18,-1,573,73,88,72,0.9585
18,-1,913,94,58,50,0.9540
18,-1,894,95,50,48,0.9485
18,-1,878,107,49,37,0.9276
19,-1,1286,364,230,183,0.9785
19,-1,558,94,105,75,0.9646
19,-1,932,78,81,67,0.9640
19,-1,1175,83,78,91,0.9594
19,-1,573,73,88,72,0.9584
19,-1,913,94,58,50,0.9545
19,-1,894,95,50,48,0.9480
19,-1,878,107,49,37,0.9268
20,-1,1286,364,230,183,0.9785
20,-1,558,94,105,75,0.9648
20,-1,932,78,81,67,0.9637
20,-1,1175,83,77,91,0.9596
20,-1,573,73,88,72,0.9584
20,-1,913,94,58,50,0.9543
20,-1,894,95,50,48,0.9477
20,-1,878,107,49,37,0.9264
21,-1,1286,364,229,183,0.9786
21,-1,558,94,105,75,0.9648
21,-1,932,78,81,67,0.9638
21,-1,1175,83,77,91,0.9595
21,-1,573,73,88,72,0.9584
21,-1,913,94,58,50,0.9545
21,-1,894,95,50,48,0.9479
21,-1,878,107,49,37,0.9266
22,-1,1286,364,229,183,0.9786
22,-1,558,94,105,75,0.9646
22,-1,932,78,80,67,0.9636
22,-1,1175,83,77,91,0.9595
22,-1,573,73,88,72,0.9584
22,-1,913,94,58,50,0.9544
22,-1,894,95,50,48,0.9482
22,-1,878,107,49,37,0.9271
23,-1,1286,364,229,183,0.9787
23,-1,558,94,105,75,0.9647
23,-1,932,78,80,67,0.9637
23,-1,1175,83,77,91,0.9594
23,-1,573,73,88,72,0.9582
23,-1,913,94,58,50,0.9544
23,-1,894,95,50,48,0.9485
23,-1,878,107,49,38,0.9273
24,-1,1286,364,229,183,0.9787
24,-1,558,94,105,75,0.9645
24,-1,932,78,80,67,0.9636
24,-1,1175,83,77,91,0.9596
24,-1,573,73,88,72,0.9579
24,-1,913,94,58,50,0.9548
24,-1,894,95,50,48,0.9485
24,-1,878,107,49,37,0.9273
25,-1,1286,364,230,182,0.9786
25,-1,558,94,105,75,0.9646
25,-1,932,78,80,67,0.9636
25,-1,1175,83,77,91,0.9596
25,-1,572,73,89,72,0.9581
25,-1,913,94,58,50,0.9545
25,-1,894,95,50,48,0.9475
25,-1,878,107,49,38,0.9264
26,-1,1286,364,230,182,0.9787
26,-1,558,94,105,75,0.9646
26,-1,932,78,80,67,0.9636
26,-1,1175,83,77,91,0.9596
26,-1,573,73,88,72,0.9581
26,-1,913,94,58,50,0.9545
26,-1,894,95,50,48,0.9474
26,-1,878,107,49,38,0.9263
27,-1,1286,364,230,183,0.9787
27,-1,558,94,105,75,0.9646
27,-1,932,78,80,67,0.9636
27,-1,1175,83,77,91,0.9596
27,-1,573,73,88,72,0.9582
27,-1,913,94,58,50,0.9545
27,-1,894,95,50,48,0.9474
27,-1,878,107,49,38,0.9263
28,-1,1286,364,230,183,0.9786
28,-1,558,94,105,75,0.9646
28,-1,932,78,80,67,0.9636
28,-1,1175,83,77,91,0.9596
28,-1,573,73,88,72,0.9581
28,-1,913,94,58,50,0.9544
28,-1,894,95,50,48,0.9476
28,-1,878,107,49,37,0.9271
29,-1,1286,364,230,183,0.9786
